,author,published_at,updated_at,like_count,text
133,@mritunjaykumar5431,2024-09-06T13:33:25Z,2024-09-06T13:33:25Z,1,Bhai naye video dalo
134,@priyoprememotions,2024-09-06T13:32:30Z,2024-09-06T13:32:30Z,0,Pointless bodyguard 😂😂
135,@zeuspubg636,2024-09-06T13:14:36Z,2024-09-06T13:14:36Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=1480"">24:40</a> 😂"
136,@yashdahiya484,2024-09-06T13:10:24Z,2024-09-06T13:10:24Z,1,Kya bkchodi hai ye... Gandu show❤
137,@atharva_khiste,2024-09-06T13:02:09Z,2024-09-06T13:02:09Z,0,Samay’s phone password is 757575 😂
138,@makraniraza5029,2024-09-06T12:59:44Z,2024-09-06T13:01:41Z,0,Sakal ke magarmach:- Ajeeb janwar hai kitna bhi khai bhukha hi rhe ta hai (the Judges)🌚
139,@Rhythmicflections,2024-09-06T12:53:18Z,2024-09-06T12:54:16Z,1,Naman ne standup waalo ko aur judges ko hi dhoka diya😂<br>Guy is an actor and played a character on stage no one could guess and everyone thought he was just like what he appeared on stage😅Goofy and innocent🤣
140,@Veer1770,2024-09-06T12:43:54Z,2024-09-06T12:43:54Z,0,Only liked and commented on this video for that naman dude... he&#39;s fab and such a pure hearted man 🎀
141,@ZaidKhan-hw9ti,2024-09-06T12:37:19Z,2024-09-06T12:37:19Z,0,Naman bhai op 🤣❤️
142,@user-xr5bb5yl5d,2024-09-06T12:20:33Z,2024-09-06T12:20:33Z,0,atul khatri was not laughing guy gets humour
143,@symbol7190,2024-09-06T12:10:03Z,2024-09-06T12:10:03Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2362"">39:22</a> maut ko chuke Tak se wapas a sakta hun 😂"
144,@mayanksingh_78,2024-09-06T12:07:57Z,2024-09-06T12:07:57Z,0,Iska party popper kabhi nahi fat ta 😂😂
145,@symbol7190,2024-09-06T12:06:31Z,2024-09-06T12:06:31Z,0,Vipul goyal is very good comedian.
146,@DYyout12339,2024-09-06T11:54:49Z,2024-09-06T11:54:49Z,0,Big fan
147,@SachinRathod-p9g,2024-09-06T11:51:35Z,2024-09-06T11:51:35Z,0,1 saal tk Bhai show cahlega 😂kya
148,@pracheepreksha5789,2024-09-06T11:46:54Z,2024-09-06T11:46:54Z,0,Just saw Naman Arora in Call me Bae!
149,@ronitshekhar641,2024-09-06T11:32:46Z,2024-09-06T11:32:46Z,0,@shanya
150,@yugsharma3723,2024-09-06T11:29:19Z,2024-09-06T11:29:19Z,1,Bro episode 6 when ❤️
151,@Joyandthay,2024-09-06T11:25:58Z,2024-09-06T11:25:58Z,0,Love samay 🎉🎉
152,@keshavjha7676,2024-09-06T11:23:44Z,2024-09-06T11:23:44Z,0,I cried laughing @Naman bhai 🤘
153,@whynesspower,2024-09-06T11:10:45Z,2024-09-06T11:10:45Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=3840"">01:04:00</a> would have been clever if he would have taken the autograph of samay on the painting and sold it to someone again for 70K"
154,@IamArman.01,2024-09-06T10:59:34Z,2024-09-06T10:59:34Z,0,"Bro how can We participate ,🤔"
155,@WednesMadness,2024-09-06T10:51:52Z,2024-09-06T10:51:52Z,0,Only when he spoke I realised it&#39;s the Kunal Kamra. It&#39;s been a long time since &#39;mandir yahi banega&#39;
156,@user-jf6hl3pd9q,2024-09-06T10:42:08Z,2024-09-06T10:42:08Z,0,Wifi kill😂😂😂😂
